Camera,Camera_folder,Species,DateTimeOriginal,Date,Sheep,Time,delta.time.secs,Directory,FileName,Classification,DST,Time_DST_Corrected,Time_Decimal,Time_Scaled,Time_Radians,Time_Sun
D08,D08_110620_031321,Bobcat,11/9/2020 9:00,11/8/20,Y,9:00:30,0,Reviewed Phase 4/D08_110620_031321/Bobcat,IMG_0157.JPG,Bobcat,FALSE,9H 0M 30S,NA,NA,NA,NA
D08,D08_110620_031321,Bobcat,12/24/2020 18:06,12/23/20,Y,18:06:53,3920781,Reviewed Phase 4/D08_110620_031321/Bobcat,IMG_1672.JPG,Bobcat,FALSE,18H 6M 53S,NA,NA,NA,NA
D08,D08_110620_031321,Bobcat,1/4/2021 16:29,1/3/21,Y,16:29:56,944580,Reviewed Phase 4/D08_110620_031321/Bobcat,IMG_2125.JPG,Bobcat,FALSE,16H 29M 56S,NA,NA,NA,NA
D08,D08_110620_031321,Bobcat,1/11/2021 11:11,1/10/21,Y,11:11:45,585697,Reviewed Phase 4/D08_110620_031321/Bobcat,IMG_2395.JPG,Bobcat,FALSE,11H 11M 45S,NA,NA,NA,NA
D08,D08_110620_031321,Bobcat,2/3/2021 18:01,2/2/21,Y,18:01:34,2011766,Reviewed Phase 4/D08_110620_031321/Bobcat,IMG_3202.JPG,Bobcat,FALSE,18H 1M 34S,NA,NA,NA,NA
D10,D10_030820_061520,Bobcat,3/21/2020 18:33,3/20/20,Y,18:33:36,0,Reviewed Phase 4/D10_030820_061520/Bobcat,IMG_0547.JPG,Bobcat,TRUE,18H 33M 36S,NA,NA,NA,NA
D10,D10_061520_092420,Bobcat,8/19/2020 10:06,8/18/20,N,10:06:43,0,Reviewed Phase 4/D10_061520_092420/Bobcat,IMG_9838.JPG,Bobcat,TRUE,10H 6M 43S,NA,NA,NA,NA
D10,D10_110320_031121,Bobcat,11/20/2020 11:49,11/19/20,Y,11:49:54,0,Reviewed Phase 4/D10_110320_031121/Bobcat,IMG_0271.JPG,Bobcat,FALSE,11H 49M 54S,NA,NA,NA,NA
D10,D10_110320_031121,Bobcat,12/14/2020 13:55,12/13/20,N,13:55:23,2081108,Reviewed Phase 4/D10_110320_031121/Bobcat,IMG_0508.JPG,Bobcat,FALSE,13H 55M 23S,NA,NA,NA,NA
D10,D10_110320_031121,Bobcat,1/15/2021 16:18,1/14/21,N,16:18:32,2773384,Reviewed Phase 4/D10_110320_031121/Bobcat,IMG_0688.JPG,Bobcat,FALSE,16H 18M 32S,NA,NA,NA,NA
